rank,variant_id,tcg,name,set,collector_number,price_usd,psa10_pop,market_cap_usd,price_as_of,pop_as_of,origin,price_source
1,8,one-piece,Monkey.D.Luffy L,Promotional Card ONE PIECE Card Game x Los Angeles Dodgers,EB02-010,3991.648244,11288,45057725.378272,2026-07-24,2026-07-24,eval8_ready,eval8_reference
2,22,one-piece,Monkey.D.Luffy SEC-SP Booster Pack Awakening Of The New Era,Comic Parallel,OP05-119,9702.775731,2968,28797838.369608,2026-07-24,2026-07-24,eval8_ready,eval8_reference
3,19,one-piece,Monkey D Luffy,2023 Awakening of the New Era Special Art,ST01-012,18576.000000,1392,25857792.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
4,24,one-piece,Monkey D. Luffy,2023 Awakening of the New Era Manga Alternate Art,OP05-119,19487.000000,1126,21942362.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
5,36,one-piece,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,Gold Background,OP05-119,13256.765838,1240,16438389.63912,2026-07-24,2026-07-24,eval8_ready,eval8_reference
6,43,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed 3rd Anniversary Gold Foil,OP05-119,20583.000000,772,15890076.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
7,56,one-piece,Monkey.D.Luffy SEC-SP Extra Booster Anime 25th Collection,Comic Parallel,EB02-061,5821.665438,2300,13389830.5074,2026-07-24,2026-07-24,eval8_ready,eval8_reference
8,60,one-piece,Roronoa Zoro,2024 Wings of the Captain Manga Alternate Art,OP06-118,4865.000000,2575,12527375.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
9,63,one-piece,Monkey D. Luffy,2025 Eb02-Extra Booster -Anime 25th Collection- Manga Alternate Art,EB02-061,12500.000000,955,11937500.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
10,69,one-piece,Monkey D. Luffy,2025 Piece Card Game Carrying On His Will,OP13-118,38450.000000,278,10689100.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
11,72,one-piece,Monkey D. Luffy,2025 Piece Card Game A Fist of Divine Speed,OP05-119,12834.000000,815,10459710.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
12,64,one-piece,Roronoa Zoro SEC-SP Booster Pack Wings Of The Captain,Comic Parallel,OP06-118,2443.643472,4191,10241309.791152,2026-07-24,2026-07-25,eval8_ready,eval8_reference
13,78,one-piece,Nami,2024 Premium Booster the Best Manga Alternate Art,OP01-016,3681.000000,2651,9758331.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
14,71,one-piece,Nami R-SP Premium Booster One Piece Card The Best,Comic Parallel,OP01-016,1130.185106,8530,9640478.95418,2026-07-23,2026-07-25,eval8_ready,eval8_reference
15,80,one-piece,Gol D. Roger SEC-GSP,Booster Pack Emperors In The New World,OP09-118,7184.966839,1338,9613485.630582,2026-07-24,2026-07-25,eval8_ready,eval8_reference
16,98,one-piece,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,2161.631049,4163,8998870.056987,2026-07-24,2026-07-25,eval8_ready,eval8_reference
17,87,one-piece,Boa Hancock SR-SP Booster Pack The Future After 500 years,Comic Parallel,OP07-051,1995.824122,4486,8953267.011292,2026-07-24,2026-07-25,eval8_ready,eval8_reference
18,90,one-piece,Trafalgar Law,Champion Ship Prize,ST10-010,4943.502825,1720,8502824.859,2026-07-24,2026-07-24,eval8_ready,eval8_reference
19,102,one-piece,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,5546.000000,1500,8319000.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
20,103,one-piece,Monkey D. Luffy,2022 Romance Dawn Alternate Art,OP01-003,9879.000000,838,8278602.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
21,107,one-piece,Boa Hancock,2024 500 Years In the Future Manga Art,OP07-051,3180.000000,2438,7752840.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
22,112,one-piece,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,Silver Background,OP05-119,6755.097028,1114,7525178.089192,2026-07-24,2026-07-25,eval8_ready,eval8_reference
23,111,one-piece,Monkey.D.Luff,1st Anniversary Set,ST10-006,5833.947433,1286,7502456.398838,2026-07-24,2026-07-26,eval8_ready,eval8_reference
24,128,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed Manga Alternate Art,OP11-118,2400.000000,2772,6652800.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
25,132,one-piece,Boa Hancock,2023 Kingdoms of Intrigue,OP01-078,2690.000000,2453,6598570.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
26,134,one-piece,Monkey D. Luffy,2025 Carrying On His Will (Op13) - English Manga Alt. Art Parallel,OP13-118,5722.000000,1129,6460138.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
27,137,one-piece,Monkey.D.Luffy SEC-SP Booster Pack CARRYING ON HIS WILL,Comic Parallel,OP13-118,3500.368460,1807,6325165.80722,2026-07-24,2026-07-25,eval8_ready,eval8_reference
28,146,one-piece,Monkey D Luffy,2024 Premium Booster: the Best English Manga Alt. Art Parallel,OP05-119,10188.000000,571,5817348.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
29,150,one-piece,Monkey.D.Luffy SEC-SP Booster Pack A Fist of Divine Speed,Comic Parallel,OP11-118,1621.223287,3574,5794252.027738,2026-07-24,2026-07-25,eval8_ready,eval8_reference
30,157,one-piece,Roronoa Zoro,Flagship Battle Victory souvenir,OP01-025,2880.127733,1974,5685372.144942,2026-07-24,2026-07-26,eval8_ready,eval8_reference
31,163,one-piece,Monkey D. Luffy,2025 3rd Anniversary! One Piece Card Treasure Campaign Pack,ST21-014,4468.000000,1203,5375004.0,2026-07-24,2026-07-26,eval8_ready,eval8_reference
32,171,one-piece,Monkey D Luffy,"2024 Emperors In the New World (Op09) - English (Borderless, Manga Art) Alt Art",OP09-119,5279.000000,976,5152304.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
33,175,one-piece,Tony Tony Chopper,2024 Memorial Collection Manga Alternate Art,EB01-006,6462.000000,784,5066208.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
34,188,one-piece,Portgas D. Ace,2023 Japanese Manga Art,OP02-013,3125.000000,1504,4700000.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
35,192,one-piece,Sanji,2025 Premium Booster: the Best Vol.2 (Prb-02) - English Manga Alt. Art Parallel (En Above Japan On Border),OP06-119,4497.000000,1041,4681377.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
36,197,one-piece,Nami,2025 Card Game Promo Championship Offline Regionals Top  Prize,OP09-050,4584.000000,999,4579416.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
37,249,one-piece,Monkey D Luffy,Weekly Shonen JUMP 2023 36 37 combined issue supplement,P-043,204.056448,13694,2794348.998912,2026-07-25,2026-07-25,eval8_ready,eval8_reference
38,276,one-piece,Boa Hancock SR-SPC,Extra Booster ONE PIECE Heroines edition,EB03-026,1634.186572,1550,2532989.1866,2026-07-24,2026-07-24,eval8_ready,eval8_reference
39,267,one-piece,Monkey D Luffy SEC-P,Booster Pack Awakening of the New Era,OP05-119,352.984300,7035,2483244.5505,2026-07-25,2026-07-24,eval8_ready,eval8_reference
40,311,one-piece,Dracule Mihawk SEC-SP Booster Pack THE AZURE SEA'S SEVEN,Comic Parallel,OP14-119,1069.094019,1358,1451829.677802,2026-07-24,2026-07-24,eval8_ready,eval8_reference
