rank,variant_id,tcg,name,set,collector_number,price_usd,psa10_pop,market_cap_usd,price_as_of,pop_as_of,origin,price_source
1,1,pokemon,Pikachu with Grey Felt Hat,SVP EN “Van gogh exhibition”,085/SVP,3054.554341,49517,151252367.303297,2026-07-25,2026-07-24,eval8_ready,eval8_reference
2,2,pokemon,Pikachu,SWSH: Sword & Shield Promo Cards,227/S-P,3848.738469,21194,81570163.111986,2026-07-24,2026-07-24,eval8_ready,eval8_reference
3,4,pokemon,Pikachu Munch,SM-P,288/SM-P,14967.316269,3930,58821552.93717,2026-07-24,2026-07-25,eval8_ready,eval8_reference
4,9,pokemon,Poncho,XY Promos,208/XY-P,22800.000000,2419,55153200.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
5,7,pokemon,Poncho,XY Promos,207/XY-P,22800.000000,2389,54469200.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
6,5,pokemon,Mega Charizard X ex,M2: Inferno X,110/080,1075.203128,47266,50820551.048048,2026-07-25,2026-07-24,eval8_ready,eval8_reference
7,6,pokemon,Umbreon ex,SV8a: Terastal Fest ex,217/187,610.910868,77238,47185533.622584,2026-07-25,2026-07-24,eval8_ready,eval8_reference
8,13,pokemon,Poncho,XY-P: XY Promos,230/XY-P,19750.000000,2290,45227500.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
9,10,pokemon,Luigi Pikachu,XY-P: XY Promos,296/XY-P,17349.868654,2358,40910990.286132,2026-07-24,2026-07-24,eval8_ready,eval8_reference
10,11,pokemon,Charizard EX,XY-P: XY Promos,276/XY-P,11667.894866,3343,39005772.537038,2026-07-24,2026-07-24,eval8_ready,eval8_reference
11,12,pokemon,Poncho,XY-P: XY Promos,231/XY-P,16800.048873,2128,35750504.001744,2026-07-24,2026-07-24,eval8_ready,eval8_reference
12,21,pokemon,Team Skull Pikachu,Special BOX Member Pretend Pikachu,013/SM-P,14056.055023,2089,29363098.943047,2026-07-24,2026-07-24,eval8_ready,eval8_reference
13,15,pokemon,Giratina V,S11: Lost Abyss,111/100,2161.630000,13516,29216591.08,2026-07-24,2026-07-25,eval8_ready,eval8_reference
14,16,pokemon,Mimikyu,SM-P: Sun & Moon Promos,289/SM-P,19344.141489,1451,28068349.300539,2026-07-24,2026-07-24,eval8_ready,eval8_reference
15,17,pokemon,Charizard ex,SV2a: Pokemon Card 151,201/165,729.427577,37002,26990279.204154,2026-07-25,2026-07-24,eval8_ready,eval8_reference
16,18,pokemon,Charizard,s8a-P: Promo Card Pack 25th Anniversary Edition,001/025,767.688924,33112,25419715.651488,2026-07-24,2026-07-24,eval8_ready,eval8_reference
17,20,pokemon,Latias & Latios GX,SM9: Tag Bolt,105/095,8002.932372,3170,25369295.61924,2026-07-25,2026-07-25,eval8_ready,eval8_reference
18,26,pokemon,Mario Pikachu,XY-P: XY Promos,293/XY-P,10255.465488,2383,24438774.257904,2026-07-24,2026-07-24,eval8_ready,eval8_reference
19,25,pokemon,Red's Pikachu,SM-P: Sun & Moon Promos,270/SM-P,1312.474800,17953,23562860.0844,2026-07-24,2026-07-25,eval8_ready,eval8_reference
20,23,pokemon,Mew ex,SV4a: Shiny Treasure ex,347/190,909.493555,25901,23556792.568055,2026-07-25,2026-07-24,eval8_ready,eval8_reference
21,27,pokemon,Psyduck,SM-P: Sun & Moon Promos,286/SM-P,11360.845001,1942,22062760.991942,2026-07-24,2026-07-24,eval8_ready,eval8_reference
22,29,pokemon,Gengar VMAX,SS: Gengar VMAX High-Class Deck,020/019,2504.734559,7993,20020343.330087,2026-07-24,2026-07-24,eval8_ready,eval8_reference
23,33,pokemon,Lillie,SM4+: GX Battle Boost,119/114,16549.987718,1200,19859985.2616,2026-07-24,2026-07-24,eval8_ready,eval8_reference
24,30,pokemon,Detective Pikachu,SV-P,098/SV-P,409.206427,47676,19509325.613652,2026-07-25,2026-07-24,eval8_ready,eval8_reference
25,31,pokemon,Moltres Zapdos Articuno GX,Sun Moon Promotional Card,SM210,440.000000,41868,18421920.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
26,51,pokemon,Luigi Pikachu,XY-P: XY Promos,295/XY-P,7341.562270,2337,17157231.02499,2026-07-24,2026-07-25,eval8_ready,eval8_reference
