variant_id,tcg,name,set,collector_number,gap_kind,pop_last_date,eval_metric_status,gemrate_id
111,one-piece,Monkey.D.Luff,1st Anniversary Set,ST10-006,never,,ready,a7d59375187e7aa39a9d1fbd7992350e16614226
163,one-piece,Monkey D. Luffy,2025 3rd Anniversary! One Piece Card Treasure Campaign Pack,ST21-014,never,,ready,71159da1e8da94cd4193b716f743fc1d1a3e6a62
234,one-piece,Sanji SEC-SP Premium Booster One Piece Card The Best vol.2,Comic Parallel,OP06-119,never,,accumulating,f604cf4967d5b4b7ec0581a050baa956bd875044
157,one-piece,Roronoa Zoro,Flagship Battle Victory souvenir,OP01-025,never,,ready,a761dc6d8dedd3ce2d5fc001492590decf9795f9
145,one-piece,Monkey.D.Luffy,Premium Card Collection ONE PIECE DAY'25,P-110,never,,accumulating,f3d7de55a76085832cdcef4f7790a6805e32aa6d
42,one-piece,Monkey.D.Luffy L,Promotional Card BVB x ONE PIECE Matchday 2025,ST13-003,never,,accumulating,ed56b7b239372b059a6b7ff623b976c6f198ed61
240,one-piece,Monkey.D.Luffy,Promotional Card Flagship Battle Winner's Memento,ST21-014,never,,accumulating,8cd0308775087cf2a27e793bd7a349afc246cec5
54,one-piece,Monkey.D.Luffy,Promotional Card ONE PIECE magazine Special Feature Weekly Shonen Jump ONE PIECE 020,ST21-014,never,,accumulating,e182eaa14932bb1878fd119e194669ac195159ec
1536,one-piece,Vegapunk,One Piece 500 Years in the Future,OP07-097,stale,2026-07-21,unavailable,9b5fb2067c0320b64031ce3ac601d52ba35cedc7
1492,one-piece,Zoro-Juurou,One Piece Awakening of the New Era,OP05-067,stale,2026-07-21,unavailable,ce4af5160a824600fb494edd042a3d1fd720ff4c
1493,one-piece,Trafalgar Law,One Piece Awakening of the New Era,OP05-069,stale,2026-07-21,unavailable,e31309ef614f20cbb5dbce33431733cde54fed07
1494,one-piece,Rebecca,One Piece Awakening of the New Era,OP05-091,stale,2026-07-21,unavailable,e8a39bea7145d3fb587342ce849fc3501eb637cc
1568,one-piece,Lilith,One Piece Carrying On His Will,OP07-111,stale,2026-07-21,unavailable,cc9b1d2559e03d852922473388f8383622eb6246
1557,one-piece,Sabo,One Piece Carrying On His Will,OP13-004,stale,2026-07-21,unavailable,a2d379510e3c53dc82062d268602645a787bec22
1566,one-piece,Yamato,One Piece Carrying On His Will,OP13-054,stale,2026-07-21,unavailable,e4e44351cd3eac886303c05d6b4f789cfe4fe83e
1560,one-piece,St. Ethanbaron V. Nusjuro,One Piece Carrying On His Will,OP13-080,stale,2026-07-21,unavailable,9e570e80e501a8200c50815e59fb1149ebe02945
1555,one-piece,St. Jaygarcia Saturn,One Piece Carrying On His Will,OP13-083,stale,2026-07-21,unavailable,61ceb18ac94e6c52d05d03812aa64d0fb92e4c79
1561,one-piece,St. Topman Warcury,One Piece Carrying On His Will,OP13-089,stale,2026-07-21,unavailable,e251c63da33d111848e2145b7e2c189c9e120bf5
1562,one-piece,St. Marcus Mars,One Piece Carrying On His Will,OP13-091,stale,2026-07-21,unavailable,d5d8ac897256e38ca20bc903aae7925c31918631
1556,one-piece,Stussy,One Piece Carrying On His Will,OP13-110,stale,2026-07-21,unavailable,c53fc7f87a33f5b279f64b5977eadd9e7203df31
1565,one-piece,Portgas D. Ace (Super),One Piece Carrying On His Will,OP13-119,stale,2026-07-21,unavailable,9435332cc0a46b69138f173a96b45ed7b0f26b88
1549,one-piece,Rob Lucci,One Piece Emperors in the New World,OP05-093,stale,2026-07-21,unavailable,a16c1f9317f2801c3c9fcc255b4d1ff513c488c9
1546,one-piece,Buggy,One Piece Emperors in the New World,OP09-042,stale,2026-07-21,unavailable,698f65ca1182d92a8ef778f9b66f15c9b8009a9b
1547,one-piece,Marshall D. Teach,One Piece Emperors in the New World,OP09-081,stale,2026-07-21,unavailable,e6a3470483ea7fb9d26ead3f6a742436b54fa17e
1553,one-piece,Marshall D. Teach,One Piece Emperors in the New World,OP09-093,stale,2026-07-21,unavailable,b5a3b35a203badfb9f110b930df0d36e11fe4863
1573,one-piece,Edward Newgate,One Piece Kingdoms of Intrigue,OP02-004,stale,2026-07-21,unavailable,8036018168aaf2741fbfd9980dfbc7a0f48ca2e8
1524,one-piece,Lim,One Piece Legacy of the Master,OP09-037,stale,2026-07-21,unavailable,73f5bfb58097417171b05527dfca02cf591c5b36
1521,one-piece,Boa Hancock,One Piece Legacy of the Master,OP12-014,stale,2026-07-21,unavailable,b4c65056508b0b8a14ed61562cc7e2ce27cb959e
1500,one-piece,Tony Tony Chopper,One Piece Two Legends,OP08-001,stale,2026-07-21,unavailable,874f168922fcc632013a8aa64b29398bc8bdaea0
1499,one-piece,Nami,One Piece Two Legends,OP08-106,stale,2026-07-21,unavailable,7ff2b075632a3b995a8664d1748d3cc8255a7fb3
1503,one-piece,Silvers Rayleigh,One Piece Two Legends,OP08-118,stale,2026-07-21,unavailable,d16f0ca238283cbcbaa73c954fbb71a4ceaccab7
1501,one-piece,Gecko Moria,One Piece Two Legends,ST03-004,stale,2026-07-21,unavailable,b82c83072bbc4af4a3fd9d2234f92baeb6a94782
1586,one-piece,Uta,One Piece Wings of the Captain,OP06-001,stale,2026-07-21,unavailable,d7ae6884752716e2eec7b2c171a846670512a6a1
