variantId,boards,rank,tcg,name,set,collectorNumber,tier,missingImage,nonStdCanvas,reachableViaCurrentOpaqueId,onDiskDims,packImageDims,qcVersion
1,ptcg100|tcg300,1,pokemon,Pikachu with Grey Felt Hat,SVP EN “Van gogh exhibition”,085/SVP,C_drift_nonstd,False,True,False,438x610,438x610,raw-front-v3
2,ptcg100|tcg300,2,pokemon,Pikachu,SWSH: Sword & Shield Promo Cards,227/S-P,C_drift_nonstd,False,True,False,632x895,632x895,raw-front-v3
4,ptcg100|tcg300,3,pokemon,Pikachu Munch,SM-P,288/SM-P,C_drift_nonstd,False,True,False,432x609,432x609,raw-front-v3
5,ptcg100|tcg300,6,pokemon,Mega Charizard X ex,M2: Inferno X,110/080,C_drift_nonstd,False,True,False,705x1000,705x1000,raw-front-v3
6,ptcg100|tcg300,7,pokemon,Umbreon ex,SV8a: Terastal Fest ex,217/187,C_drift_nonstd,False,True,False,670x933,670x933,raw-front-v3
7,ptcg100|tcg300,5,pokemon,Poncho,XY Promos,207/XY-P,C_drift_nonstd,False,True,False,716x996,1000x730,raw-front-v3
9,ptcg100|tcg300,4,pokemon,Poncho,XY Promos,208/XY-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
10,ptcg100|tcg300,9,pokemon,Luigi Pikachu,XY-P: XY Promos,296/XY-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
11,ptcg100|tcg300,10,pokemon,Charizard EX,XY-P: XY Promos,276/XY-P,C_drift_nonstd,False,True,False,716x998,716x998,raw-front-v3
12,ptcg100|tcg300,11,pokemon,Poncho,XY-P: XY Promos,231/XY-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
13,ptcg100|tcg300,8,pokemon,Poncho,XY-P: XY Promos,230/XY-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
15,ptcg100|tcg300,13,pokemon,Giratina V,S11: Lost Abyss,111/100,C_drift_nonstd,False,True,False,640x903,640x903,raw-front-v3
16,ptcg100|tcg300,14,pokemon,Mimikyu,SM-P: Sun & Moon Promos,289/SM-P,C_drift_nonstd,False,True,False,715x994,715x994,raw-front-v3
17,ptcg100|tcg300,15,pokemon,Charizard ex,SV2a: Pokemon Card 151,201/165,C_drift_nonstd,False,True,False,640x904,640x904,raw-front-v3
18,ptcg100|tcg300,16,pokemon,Charizard,s8a-P: Promo Card Pack 25th Anniversary Edition,001/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
19,tcg300|op100,3,one-piece,Monkey D Luffy,2023 Awakening of the New Era Special Art,ST01-012,D_no_file,True,False,False,,1000x730,
20,ptcg100|tcg300,17,pokemon,Latias & Latios GX,SM9: Tag Bolt,105/095,C_drift_nonstd,False,True,False,716x998,716x998,raw-front-v3
21,ptcg100|tcg300,12,pokemon,Team Skull Pikachu,Special BOX Member Pretend Pikachu,013/SM-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
23,ptcg100|tcg300,20,pokemon,Mew ex,SV4a: Shiny Treasure ex,347/190,C_drift_nonstd,False,True,False,640x899,640x899,raw-front-v3
24,tcg300|op100,4,one-piece,Monkey D. Luffy,2023 Awakening of the New Era Manga Alternate Art,OP05-119,D_no_file,True,False,False,,1000x730,
25,ptcg100|tcg300,19,pokemon,Red's Pikachu,SM-P: Sun & Moon Promos,270/SM-P,C_drift_nonstd,False,True,False,716x995,716x995,raw-front-v3
26,ptcg100|tcg300,18,pokemon,Mario Pikachu,XY-P: XY Promos,293/XY-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
27,ptcg100|tcg300,21,pokemon,Psyduck,SM-P: Sun & Moon Promos,286/SM-P,C_drift_nonstd,False,True,False,715x994,715x994,raw-front-v3
29,ptcg100|tcg300,22,pokemon,Gengar VMAX,SS: Gengar VMAX High-Class Deck,020/019,C_drift_nonstd,False,True,False,573x800,573x800,raw-front-v3
30,ptcg100|tcg300,24,pokemon,Detective Pikachu,SV-P,098/SV-P,C_drift_nonstd,False,True,False,434x609,434x609,raw-front-v3
31,ptcg100|tcg300,25,pokemon,Moltres Zapdos Articuno GX,Sun Moon Promotional Card,SM210,C_drift_nonstd,False,True,False,441x610,441x610,raw-front-v3
32,ptcg100|tcg300,30,pokemon,_____'s Pikachu,s8a-P: Promo Card Pack 25th Anniversary Edition,007/025,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
33,ptcg100|tcg300,23,pokemon,Lillie,SM4+: GX Battle Boost,119/114,C_drift_nonstd,False,True,False,716x997,716x997,raw-front-v3
35,ptcg100|tcg300,27,pokemon,Pikachu,Promotional Cards 5th Anniversary Card,153/SV-P,D_no_file,True,False,False,,700x512,
38,ptcg100|tcg300,28,pokemon,Pikachu ex,WCS23: 2023 World Championships Yokohama Deck: Pikachu,001/030,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
40,ptcg100|tcg300,33,pokemon,Eevee,SM-P: Sun & Moon Promos,287/SM-P,C_drift_nonstd,False,True,False,715x994,715x994,raw-front-v3
43,tcg300|op100,6,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed 3rd Anniversary Gold Foil,OP05-119,D_no_file,True,False,False,,1000x730,
44,ptcg100|tcg300,41,pokemon,Pikachu,CP3: PokeKyun Collection,010/032,C_drift_nonstd,False,True,False,716x999,716x999,raw-front-v3
45,ptcg100|tcg300,29,pokemon,Pikachu EX,CP6: Expansion Pack 20th Anniversary,094/087,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
46,ptcg100|tcg300,35,pokemon,Magikarp,SV1a: Triplet Beat,080/073,C_drift_nonstd,False,True,False,640x910,640x910,raw-front-v3
50,ptcg100|tcg300,39,pokemon,Pikachu & Zekrom GX,SM9: Tag Bolt,101/095,C_drift_nonstd,False,True,False,716x997,716x997,raw-front-v3
51,ptcg100|tcg300,26,pokemon,Luigi Pikachu,XY-P: XY Promos,295/XY-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
53,ptcg100|tcg300,38,pokemon,Pikachu,SM-P: Sun & Moon Promos,400/SM-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
57,ptcg100|tcg300,43,pokemon,Pikachu,S-P Promotional cards「YU NAGABA×Pokemon Card Game」,208/S-P,C_drift_nonstd,False,True,False,426x609,426x609,raw-front-v3
59,ptcg100|tcg300,44,pokemon,Mega Charizard X ex,M2: Inferno X,116/080,C_drift_nonstd,False,True,False,717x1000,717x1000,raw-front-v3
60,tcg300|op100,8,one-piece,Roronoa Zoro,2024 Wings of the Captain Manga Alternate Art,OP06-118,D_no_file,True,False,False,,1000x730,
61,ptcg100|tcg300,45,pokemon,Mew ex,SV2a: Pokemon Card 151,205/165,C_drift_nonstd,False,True,False,500x706,500x706,raw-front-v3
63,tcg300|op100,9,one-piece,Monkey D. Luffy,2025 Eb02-Extra Booster -Anime 25th Collection- Manga Alternate Art,EB02-061,D_no_file,True,False,False,,1000x730,
65,ptcg100|tcg300,46,pokemon,Mewtwo GX,SM3+: Shining Legends,082/072,C_drift_nonstd,False,True,False,504x712,504x712,raw-front-v3
66,ptcg100|tcg300,49,pokemon,Charizard ex,SV4a: Shiny Treasure ex,349/190,C_drift_nonstd,False,True,False,640x903,640x903,raw-front-v3
68,ptcg100|tcg300,54,pokemon,Lillie,SM1M: Collection Moon,066/060,C_drift_nonstd,False,True,False,716x998,716x998,raw-front-v3
69,tcg300|op100,10,one-piece,Monkey D. Luffy,2025 Piece Card Game Carrying On His Will,OP13-118,D_no_file,True,False,False,,1000x730,
70,ptcg100|tcg300,50,pokemon,Cramorant,SWSH: Sword & Shield Promo Cards,226/S-P,C_drift_nonstd,False,True,False,632x895,632x895,raw-front-v3
72,tcg300|op100,11,one-piece,Monkey D. Luffy,2025 Piece Card Game A Fist of Divine Speed,OP05-119,D_no_file,True,False,False,,1000x730,
73,ptcg100|tcg300,55,pokemon,Sylveon ex,SV8a: Terastal Fest ex,212/187,C_drift_nonstd,False,True,False,715x1000,715x1000,raw-front-v3
77,ptcg100|tcg300,52,pokemon,Pikachu,S12a: VSTAR Universe,205/172,C_drift_nonstd,False,True,False,704x1000,704x1000,raw-front-v3
78,tcg300|op100,13,one-piece,Nami,2024 Premium Booster the Best Manga Alternate Art,OP01-016,D_no_file,True,False,False,,1000x730,
79,ptcg100|tcg300,56,pokemon,Charizard ex,SV3: Ruler of the Black Flame,134/108,C_drift_nonstd,False,True,False,640x904,640x904,raw-front-v3
81,ptcg100|tcg300,57,pokemon,Umbreon Star,s8a-P: Promo Card Pack 25th Anniversary Edition,012/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
82,ptcg100|tcg300,66,pokemon,Special Delivery Charizard,Sword Shield 2022 Pokemon Center UK Special Promo,SWSH075,C_drift_nonstd,False,True,False,437x610,437x610,raw-front-v3
84,ptcg100|tcg300,58,pokemon,Gengar & Mimikyu GX,SM9: Tag Bolt,103/095,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
88,ptcg100|tcg300,64,pokemon,Giratina VSTAR,S12a: VSTAR Universe,261/172,C_drift_nonstd,False,True,False,708x1000,708x1000,raw-front-v3
91,ptcg100|tcg300,62,pokemon,Rayquaza V,S7R: Blue Sky Stream,076/067,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
92,ptcg100|tcg300,70,pokemon,Kanazawa Pikachu With Mark,S-P,144/S-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
93,ptcg100|tcg300,67,pokemon,Umbreon & Darkrai GX,SM12a: TAG TEAM GX: Tag All Stars,182/173,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
94,ptcg100|tcg300,65,pokemon,Iono,SV2D: Clay Burst,096/071,C_drift_nonstd,False,True,False,640x906,640x906,raw-front-v3
95,ptcg100|tcg300,69,pokemon,Lillie's Determination,m1L: Mega Brave,091/063,C_drift_nonstd,False,True,False,640x903,640x903,raw-front-v3
96,ptcg100|tcg300,48,pokemon,Charizard,CP6: Expansion Pack 20th Anniversary,011/087,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
97,ptcg100|tcg300,68,pokemon,Sightseer,SM12a: TAG TEAM GX: Tag All Stars,192/173,C_drift_nonstd,False,True,False,716x999,716x999,raw-front-v3
99,ptcg100|tcg300,73,pokemon,Mew VMAX,S8: Fusion Arts,119/100,C_drift_nonstd,False,True,False,640x905,640x905,raw-front-v3
102,tcg300|op100,19,one-piece,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,D_no_file,True,False,False,,434x610,
