variantId,boards,tcg,name,set,collectorNumber,gapClass,hasEnglish,missingStoryLocales,hasAnyLocaleRow,cardNameTranslationsMissing,setNameTranslationsMissing
19,tcg300|op100,one-piece,Monkey D Luffy,2023 Awakening of the New Era Special Art,ST01-012,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
24,tcg300|op100,one-piece,Monkey D. Luffy,2023 Awakening of the New Era Manga Alternate Art,OP05-119,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
34,ptcg100|tcg300,pokemon,Mew/Mewtwo Gx,2019 Sun and Moon Black Star Promo Power Partnership Tins,SM191,no_english_story,False,en|ja|zhCN|zhTW,False,,
39,ptcg100|tcg300,pokemon,Giratina Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery Secret Rare,GG69,no_english_story,False,en|ja|zhCN|zhTW,False,,
41,ptcg100|tcg300,pokemon,Mewtwo Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery,GG44,no_english_story,False,en|ja|zhCN|zhTW,False,,
43,tcg300|op100,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed 3rd Anniversary Gold Foil,OP05-119,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
48,ptcg100|tcg300,pokemon,Charizard Gx,2019 Sun and Moon Hidden Fates,SV49,no_english_story,False,en|ja|zhCN|zhTW,False,,
60,tcg300|op100,one-piece,Roronoa Zoro,2024 Wings of the Captain Manga Alternate Art,OP06-118,no_english_story,False,en|ja|zhCN|zhTW,False,,zhTW|zhCN|ja
63,tcg300|op100,one-piece,Monkey D. Luffy,2025 Eb02-Extra Booster -Anime 25th Collection- Manga Alternate Art,EB02-061,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
69,tcg300|op100,one-piece,Monkey D. Luffy,2025 Piece Card Game Carrying On His Will,OP13-118,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
72,tcg300|op100,one-piece,Monkey D. Luffy,2025 Piece Card Game A Fist of Divine Speed,OP05-119,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
74,ptcg100|tcg300,pokemon,Charizard VMAX SUR,Sword Shield Shining Fates,SV107,no_english_story,False,en|ja|zhCN|zhTW,False,,
75,ptcg100|tcg300,pokemon,Pikachu/Zekrom Gx,2019 Sun and Moon Black Star Promo Tag Team Tins,SM168,no_english_story,False,en|ja|zhCN|zhTW,False,,
78,tcg300|op100,one-piece,Nami,2024 Premium Booster the Best Manga Alternate Art,OP01-016,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
101,ptcg100|tcg300,pokemon,Arceus Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery Secret Rare,GG70,no_english_story,False,en|ja|zhCN|zhTW,False,,
103,tcg300|op100,one-piece,Monkey D. Luffy,2022 Romance Dawn Alternate Art,OP01-003,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
104,ptcg100|tcg300,pokemon,Rayquaza Vmax,2022 Sword and Shield Silver Tempest Trainer Gallery,TG20,no_english_story,False,en|ja|zhCN|zhTW,False,,
107,tcg300|op100,one-piece,Boa Hancock,2024 500 Years In the Future Manga Art,OP07-051,no_english_story,False,en|ja|zhCN|zhTW,False,,
128,tcg300|op100,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed Manga Alternate Art,OP11-118,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
132,tcg300|op100,one-piece,Boa Hancock,2023 Kingdoms of Intrigue,OP01-078,no_english_story,False,en|ja|zhCN|zhTW,False,,zhTW|zhCN|ja
134,tcg300|op100,one-piece,Monkey D. Luffy,2025 Carrying On His Will (Op13) - English Manga Alt. Art Parallel,OP13-118,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
146,tcg300|op100,one-piece,Monkey D Luffy,2024 Premium Booster: the Best English Manga Alt. Art Parallel,OP05-119,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
163,tcg300|op100,one-piece,Monkey D. Luffy,2025 3rd Anniversary! One Piece Card Treasure Campaign Pack,ST21-014,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
168,ptcg100|tcg300,pokemon,Mew EX,Shiny Collection,024/020,translation_only,True,ja|zhCN|zhTW,True,zhTW|zhCN|ja,zhTW|zhCN|ja
171,tcg300|op100,one-piece,Monkey D Luffy,"2024 Emperors In the New World (Op09) - English (Borderless, Manga Art) Alt Art",OP09-119,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
175,tcg300|op100,one-piece,Tony Tony Chopper,2024 Memorial Collection Manga Alternate Art,EB01-006,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
188,tcg300|op100,one-piece,Portgas D. Ace,2023 Japanese Manga Art,OP02-013,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
192,tcg300|op100,one-piece,Sanji,2025 Premium Booster: the Best Vol.2 (Prb-02) - English Manga Alt. Art Parallel (En Above Japan On Border),OP06-119,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
197,tcg300|op100,one-piece,Nami,2025 Card Game Promo Championship Offline Regionals Top  Prize,OP09-050,no_english_story,False,en|ja|zhCN|zhTW,False,zhTW|zhCN|ja,zhTW|zhCN|ja
