variant_id,卡名,collector_number,tcg,最佳板位,板,C1_白角,C2_係咪嗰張卡,C3_走位白邊,原生透明圓角,畫布,白角三角白佔,邊緣斜率px,內環白佔,原因,圖檔路徑
1,Pikachu with Grey Felt Hat,085/SVP,pokemon,1,ptcg100#1/tcg300#1,pass,pass,suspect,是,438x610,0.0,0.0,0.3603,白邊（內環白佔 36%）；畫布 438x610（非 429x600 標準）,apps/web/public/market-assets/e873cb6aca614ae5bfd90db888def01fbc3c03f16936fe4a4074ef0f51501c94.webp
8,Monkey.D.Luffy L,EB02-010,one-piece,1,op100#1/tcg300#1,pass,fail,pass,是,429x600,0.0,0.0,0.0316,唔係卡面：影住一包未開封嘅卡包（EB02-010 換圖任務進行中）,apps/web/public/market-assets/b7e4d2e14b0580b6b16cad3aee7d8f7f72f4cfbf7c2229a26b67e8f0a3b72812.webp
2,Pikachu,227/S-P,pokemon,2,ptcg100#2/tcg300#2,fail,pass,pass,否,632x895,0.3592,0.0,0.0826,淺色方角 1/4（圓弧外係淺灰背景）；畫布 632x895（非 429x600 標準）,apps/web/public/market-assets/7dc476c6285ce9d6b5350e4fc0e1b671657167eb96c3604955df98f89e4f27d3.webp
22,Monkey.D.Luffy SEC-SP Booster Pack Awakening Of The New Era,OP05-119,one-piece,2,op100#2/tcg300#2,pass,pass,pass,否,436x610,0.0,0.0,0.0005,三項都過；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/f568cff8e87c5e66b7af261667e462148545cafabeb0eed17d2d4ebd0ae2a11d.webp
4,Pikachu Munch,288/SM-P,pokemon,3,ptcg100#3/tcg300#3,pass,pass,suspect,是,432x609,0.2806,0.0,0.4638,白邊（內環白佔 46%）；畫布 432x609（非 429x600 標準）,apps/web/public/market-assets/7d2acde5e8fa2bc9b1f470596076f483f5c06a3dbc1d0e3d8fff162d074c0b99.webp
19,Monkey D Luffy,ST01-012,one-piece,3,op100#3/tcg300#3,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
9,Poncho,208/XY-P,pokemon,4,ptcg100#4/tcg300#4,fail,pass,pass,否,716x996,0.9774,0.0,0.0029,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/69bbbdbc9438145f9dbf07bfec17c0a5abb0a52c67b6e0252dcd693a7c5ba6e4.webp
24,Monkey D. Luffy,OP05-119,one-piece,4,op100#4/tcg300#4,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
7,Poncho,207/XY-P,pokemon,5,ptcg100#5/tcg300#5,fail,pass,pass,否,716x996,0.9802,0.0,0.0025,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/9bf6546838954b6eb390034b128d7029383d019b013cb81f413ddc26c1b2599e.webp
36,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,OP05-119,one-piece,5,op100#5/tcg300#5,pass,pass,fail,是,431x608,0.3237,3.0,0.6959,歪斜（卡面邊緣斜 3px）；白邊（內環白佔 70%）；畫布 431x608（非 429x600 標準）,apps/web/public/market-assets/0835b5571e97ed6a63faf4b1de616a1e28d4fcef20dba6996e8fe4d3f10652bf.webp
5,Mega Charizard X ex,110/080,pokemon,6,ptcg100#6/tcg300#6,pass,pass,pass,否,705x1000,0.3644,0.0,0.0014,三項都過；畫布 705x1000（非 429x600 標準）,apps/web/public/market-assets/72decda8f255e2c447833b1f9da52fc3afe6a2daf4dfea4a4eccfdc737c1fe97.webp
43,Monkey D. Luffy,OP05-119,one-piece,6,op100#6/tcg300#6,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
6,Umbreon ex,217/187,pokemon,7,ptcg100#7/tcg300#7,fail,未檢查,pass,否,670x933,0.047,0.0,0.0022,淺色方角 2/4（圓弧外係淺灰背景）；畫布 670x933（非 429x600 標準）,apps/web/public/market-assets/a4406984eb0c63f022e9c86026e506294ce6bd080e43824f6d8b20964c22af37.webp
56,Monkey.D.Luffy SEC-SP Extra Booster Anime 25th Collection,EB02-061,one-piece,7,op100#7/tcg300#7,pass,pass,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/d225f889a37d2543b3a80e348f504119fb7710781320b20ac7d69b80ceecc511.webp
