優先級,最佳板位,variant_id,卡名,collector_number,tcg,畫布,原因,圖檔路徑
P0-換圖,1,8,Monkey.D.Luffy L,EB02-010,one-piece,429x600,唔係卡面：影住一包未開封嘅卡包（EB02-010 換圖任務進行中）,apps/web/public/market-assets/b7e4d2e14b0580b6b16cad3aee7d8f7f72f4cfbf7c2229a26b67e8f0a3b72812.webp
P0-換圖,23,111,Monkey.D.Luff,ST10-006,one-piece,429x600,佔位圖：卡面印住大字「NOW DESIGNING」，官方未出圖,apps/web/public/market-assets/203b13932049817a0d6bd4169a768015afbcb28e9b6a97e989419e35c11edd58.webp
P0-換圖,38,276,Boa Hancock SR-SPC,EB03-026,one-piece,436x610,樣本圖：卡面印住大字「SAMPLE」水印,apps/web/public/market-assets/2ff47d7dd0644e8b4bc263d9e50c5cd1d22a7565ac3777f3147c508bbe1e3f9c.webp
P1-重切,5,36,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,OP05-119,one-piece,431x608,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/0835b5571e97ed6a63faf4b1de616a1e28d4fcef20dba6996e8fe4d3f10652bf.webp
P1-重切,14,71,Nami R-SP Premium Booster One Piece Card The Best,OP01-016,one-piece,436x610,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/042e5b03dc11936b17da440b397d26b1b3a9d7499b9ee8e62750add31c55ab9c.webp
P1-重切,15,80,Gol D. Roger SEC-GSP,OP09-118,one-piece,436x610,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/1540ba99065b8f575a915416f88d9e2159b25e0df05913cb79a393707ab0cd0b.webp
P1-重切,16,98,Shanks SEC-SP Booster Pack ROMANCE DAWN,OP01-120,one-piece,434x610,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/50b2a9ec5d7d444c9ec56f61d06d528b32b187af70eef787e8dba9b82a848850.webp
P1-重切,22,112,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,OP05-119,one-piece,445x610,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/0f5fde6fb92a0f3e5486b781f4bd250908b6c222f441ade44e9b0226a96dc6a8.webp
P1-重切,34,39,Giratina Vstar,GG69,pokemon,429x600,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/cc20cc2151effc3eae41766c9f06b4bee541cf1f0837b2bef4de29b612be9218.webp
P1-重切,36,41,Mewtwo Vstar,GG44,pokemon,429x600,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/452a94fd004dc28398fb1c98c347c260ec5528489f27df3ddd09865e50b27151.webp
P1-重切,37,249,Monkey D Luffy,P-043,one-piece,436x610,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/d0a5f0411ecec39143dd05eb9b6f011a9ac164145aeda97bce1f991ea6c4437a.webp
P1-重切,87,129,Espeon VMAX,189/S-P,pokemon,441x610,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/09b1bb914d56b08d45adbe758455f0d4d2e50d809fe483cdcb894164a6bcfb89.webp
P1-重切,189,251,Mega Gardevoir ex,087/063,pokemon,429x600,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/488a1230b0f0a4a27327e34f39f3cda40dd195a2658d7d071e87dd2246c8a3d6.webp
P1-重切,224,349,Gardevoir EX,019/032,pokemon,716x999,卡面歪斜／白邊，肉眼一望就唔啱；圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/949deccb19752d01c1de367391dd3f77eb8c05fdf931fcd277f8eeec016f530e.webp
P1-重切,226,343,Pikachu,001/028,pokemon,429x600,卡面歪斜／白邊，肉眼一望就唔啱,apps/web/public/market-assets/8a3544aa75a13f511ce17932e54da46e95aa8e71c58dc01ae2d07c1a470774f7.webp
P2-去背,4,9,Poncho,208/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/69bbbdbc9438145f9dbf07bfec17c0a5abb0a52c67b6e0252dcd693a7c5ba6e4.webp
P2-去背,5,7,Poncho,207/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/9bf6546838954b6eb390034b128d7029383d019b013cb81f413ddc26c1b2599e.webp
P2-去背,8,13,Poncho,230/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/45057a27dd489a9b630cbdcffa0b627fccf170eb93eac271a9811456ef834f94.webp
P2-去背,9,10,Luigi Pikachu,296/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/cc5bbbe7b5cee6912faea4612985dad67220dd44c8a1f9b73d4e858fcdbbdcc3.webp
P2-去背,10,11,Charizard EX,276/XY-P,pokemon,716x998,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ff4ca4de89f3fcadee767648f7555cf9f054c837b1c74136fa5ddbac5cbf11a2.webp
P2-去背,11,12,Poncho,231/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/3673771fd2eb6e456191440d8aa3f9be8caafbf3380d4516d158796531771fad.webp
P2-去背,14,16,Mimikyu,289/SM-P,pokemon,715x994,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/16dc4f22e0567d43bdcca0b4b61abf3629ee1ae88a543e5839af4fdba7a46434.webp
P2-去背,16,18,Charizard,001/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/db6912febb94b1610dc4ba0719fec3985148a61cd97da42de67d356877f8dd5a.webp
P2-去背,17,20,Latias & Latios GX,105/095,pokemon,716x998,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/e48cd23a356216fe5fb0dfdba74d98e2d5b58fb06df659be90e9601108dbbf5a.webp
P2-去背,18,26,Mario Pikachu,293/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ca7a375eedb82fa1036432928689bac0b7571427df83fb6602b3c81d9e987a20.webp
P2-去背,19,25,Red's Pikachu,270/SM-P,pokemon,716x995,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/dac8da36c3de3d064903d07a69583f4a01d77c8f39f73aff9687932d70ffb940.webp
P2-去背,21,27,Psyduck,286/SM-P,pokemon,715x994,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/a590fa638d2b7969b559e97d21219a45f2155f3aa6801f4fea338eb8265e64f1.webp
P2-去背,22,29,Gengar VMAX,020/019,pokemon,573x800,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/54ab0c18fae314e5566ec831c388a266bd8dc0098ec1c40283e6a02bbbf68183.webp
P2-去背,23,33,Lillie,119/114,pokemon,716x997,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ca61046591166b90f313c280799a4550906760fb3fadaa9f0d8d7080cf0f853e.webp
P2-去背,26,51,Luigi Pikachu,295/XY-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/74c4ae5076a2ca0252dbe5e496d9f6144a5ef6a8938bd5c5b55201eed08b8c93.webp
P2-去背,28,38,Pikachu ex,001/030,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ce322227e878403b06bb7af57adc82901a705a84573960b70de6e5c936ef6f5a.webp
P2-去背,29,45,Pikachu EX,094/087,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ac3b834b27bfad23afd00644d2df239776c162cc2cdfe12acafebb079a06b0e2.webp
P2-去背,30,32,_____'s Pikachu,007/025,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/4ef116fb8a5fbe00561bb9db16e1785304633d2e971e20593fa7f13b9504b5d4.webp
P2-去背,33,40,Eevee,287/SM-P,pokemon,715x994,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/87bb2bc1e88005472965bdd5f7c9944854bfceed786c66d2b5983e1711550db7.webp
P2-去背,38,53,Pikachu,400/SM-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/1a677ca76ccf0532e1b8f4e2ac40f78de3dd0c40691f6e4bb3e9862ec5d3fcf4.webp
P2-去背,39,50,Pikachu & Zekrom GX,101/095,pokemon,716x997,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/bb33b190473463b4ddd909f51ea444f41a52d422a39a414499a71e05b1503ea5.webp
P2-去背,41,44,Pikachu,010/032,pokemon,716x999,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/5e8cd66a439ea600ce69125bdafbdf8363b394fbe5a0f367d9e60c3338bc73d0.webp
P2-去背,46,65,Mewtwo GX,082/072,pokemon,504x712,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/3a4b92c14fafde26a9c079e3cccb9c9b899517fcd8190f505d99790c76143c6d.webp
P2-去背,48,96,Charizard,011/087,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/99bd266ab6b8fbf7861457787682a583a84cfcb3d6ed3a5cf79dbecc0b47867e.webp
P2-去背,52,77,Pikachu,205/172,pokemon,704x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/fcc7dbd88f8cbc7bc28c0e6393dec41561a196a5bc6edfdcfddf62ed17ddaf6b.webp
P2-去背,54,68,Lillie,066/060,pokemon,716x998,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/a73b5d92e7dc3f3ee3f852e687459909ae9e68d3c247e3d90d97dd3de22465b9.webp
P2-去背,57,81,Umbreon Star,012/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/d2671ca2b29d64bcf3d8bea8f6d83976403b401dc75a866ece944d0938b7c6d5.webp
P2-去背,58,84,Gengar & Mimikyu GX,103/095,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/c44337a4c3aa3829b5ddf1285cfbb5cdaf581cb5218784f972875e9ec081778b.webp
P2-去背,62,91,Rayquaza V,076/067,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/e150d812bb2aabaa304fa3e7acf55e91bc62905650aa639b12a1a86a3bf044a1.webp
P2-去背,67,93,Umbreon & Darkrai GX,182/173,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/412b1dc051115261caa08024c2f62b2b34c9ef30602714c3367a4071eb35dc19.webp
P2-去背,68,97,Sightseer,192/173,pokemon,716x999,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/2d37f3265297641ebd919d5be3016fe19143efdea1ee1d78927ea6e89fe19577.webp
P2-去背,75,120,Mewtwo & Mew GX,098/094,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/962da0a86c69badaf064430c47299c775341ddec9b07f58e5cf035322ad58057.webp
P2-去背,81,113,Hiroshima's Pikachu,261/SV-P,pokemon,341x476,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/013aba6eeaab0b6751035d0e063285d566d0cb9682082018e8d48c09b070566b.webp
P2-去背,83,114,Pikachu,1/SV-P,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/e781183ab1b9957e04f7a3a56793ce668368139cce13e3bedffd398cdc356638.webp
P2-去背,86,126,Mewtwo VSTAR,221/172,pokemon,709x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/643b78775b29d87213839d45ec8321e182e3f8b722b07fe826434c9fcf83fe10.webp
P2-去背,88,130,Charizard VMAX,308/190,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/f9677e0154f6cf1f6d8caef952aa152491386029335e8454948c5e1ee9db860b.webp
P2-去背,90,173,Friends in Alola,401/SM-P,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/d7de49696430509f48b04e7cfaf2a4a7b96d5f0527884f35f76dd42b9353e6ba.webp
P2-去背,93,136,Pikachu,054/049,pokemon,715x995,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/adf9eac216e3e33d85a44723fa8be76d58c9af4d48e460cc7e5b6779dda9f4ee.webp
P2-去背,95,144,Clefairy,381/SM-P,pokemon,715x995,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/3a3ba6e362bd2dae847e98a7e289e78c901759f9e4c083cb63aaf72aef82142a.webp
P2-去背,98,153,Espeon ex,211/187,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/0216a58253dcffeefee7dc25bfa67d6c68c27e6f745820fe6d475bf3f680208f.webp
P2-去背,130,152,Reshiram & Charizard GX,097/095,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/1baf1b44caf202fae5848a6be4415547cd239a72c7b9967a06c265d758715182.webp
P2-去背,131,154,Team Aqua's Kyogre EX,006/034,pokemon,716x998,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/93b91d0fb2b37eea3a7376a4646730d26392625b888189f4c40429968efa61d7.webp
P2-去背,133,162,Mew,017/036,pokemon,716x997,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/0f5184b318f0d0cdb7c13d7b6bdd28f972b0fcf80f16f586012a08bae1cfb00b.webp
P2-去背,134,159,Team Magma's Groudon EX,015/034,pokemon,716x998,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/510147856e9642ccbe593904b90c203598b578cbc7fc992cd6e0bfb9d4aaa64f.webp
