rank,origin,canonical_name,market_cap_usd
1,現榜,Monkey.D.Luffy,71660947.25
2,現榜,Monkey.D.Luffy L,56750000.0
3,現榜,Monkey D Luffy,29941920.0
4,現榜,Monkey.D.Luffy SEC-SP Booster Pack Awakening Of The New Era,28654047.18
5,現榜,Roronoa Zoro,28424000.0
6,現榜,Monkey D. Luffy,23646000.0
7,現榜,Monkey.D.Luffy L,20887570.0
8,現榜,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,17681149.26
9,現榜,Monkey.D.Luffy SEC-SP Extra Booster Anime 25th Collection,15262102.7
10,現榜,Nami,14652000.0
11,現榜,Nami R-SP Premium Booster One Piece Card The Best,13861250.0
12,現榜,Trafalgar Law,10694383.2
13,現榜,Roronoa Zoro SEC-SP Booster Pack Wings Of The Captain,10366159.76
14,現榜,Shanks SEC-SP Booster Pack ROMANCE DAWN,10076800.0
15,現榜,Gol D. Roger SEC-GSP,10035000.0
16,現榜,Monkey D. Luffy,9495600.0
17,現榜,Boa Hancock SR-SP Booster Pack The Future After 500 years,9209998.55
18,現榜,Monkey D. Luffy,9100000.0
19,現榜,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,8160038.86
20,現榜,Shanks SEC-SP Booster Pack ROMANCE DAWN,8123112.86
21,現榜,Boa Hancock,7949500.0
22,現榜,Monkey.D.Luff,7945332.6
23,現榜,Boa Hancock,7847147.0
24,現榜,Monkey.D.Luffy SEC-SP Booster Pack CARRYING ON HIS WILL,7500549.81
25,現榜,Roronoa Zoro,7176785.07
26,新入,Nami,7007982.48
27,現榜,Monkey.D.Luffy SEC-SP Booster Pack Emperors In The New World,6778765.12
28,現榜,Roronoa Zoro,6771711.73
29,新入,Tony Tony Chopper SR-P,6616475.94
30,現榜,Portgas D. Ace,6039984.9
31,現榜,Sanji,5933700.0
32,現榜,Monkey.D.Luffy SEC-SP Booster Pack A Fist of Divine Speed,5740576.52
33,現榜,Monkey D. Luffy,5719900.0
34,現榜,Monkey.D.Luffy,5556638.39
35,新入,Trafalgar Law SR-SP Booster Pack Awakening Of The New Era,5129979.48
36,現榜,Monkey.D.Luffy,4832000.0
37,新入,Shanks SR-SP Booster Pack Emperors In The New World,4496480.45
38,新入,Monkey D Luffy,4316400.0
39,新入,Marshall.D.Teach SR-SP Booster Pack Emperors In The New World,4097979.51
40,新入,Monkey.D.Luffy Wanted SEC-SPC,3696250.0
41,新入,Portgas.D.Ace SEC-SP Booster Pack CARRYING ON HIS WILL,3620981.78
42,新入,Nami,3561500.0
43,新入,Monkey D. Luffy,3466980.0
44,新入,Gear Two,3465505.51
45,現榜,Sanji SEC-SP Premium Booster One Piece Card The Best vol.2,3337547.33
46,新入,Trafalgar Law SEC-SP Booster Pack Royal Blood,3298171.32
47,新入,Roronoa Zoro,2963479.68
48,新入,Monkey D. Luffy,2945232.5
49,新入,Trafalgar Law,2875462.08
50,現榜,Dracule Mihawk,2850000.0
51,現榜,Monkey D Luffy,2806207.87
52,新入,Jewelry Bonney,2738155.8
53,現榜,Monkey D Luffy SEC-P,2719631.73
54,現榜,Boa Hancock SR-SPC,2542536.95
55,新入,Silvers Rayleigh,2292502.0
56,新入,Monkey D. Luffy,2250290.0
57,現榜,Uta SEC-SP Extra Booster ONE PIECE Heroines edition,1990833.64
58,新入,Monkey D. Luffy,1841385.0
59,現榜,Dracule Mihawk SEC-SP Booster Pack THE AZURE SEA'S SEVEN,1731240.0
60,新入,Sabo SEC-SP Booster Pack CARRYING ON HIS WILL,1701877.18
61,新入,Portgas D. Ace,1630200.0
62,現榜,Monkey D. Luffy,1482750.0
63,新入,Monkey D Luffy SR-P,765043.56
64,現榜,Boa Hancock,675658.0
