variant_id,opaque_id,canonical_name,set_name,collector_number,identity_status,in_roster,has_gemrate_id,other_psa_pop_source,other_psa_pop,latest_price_usd,price_source,price_as_of,price_is_psa10_source,assumed_pop,assumed_pop_basis,would_pass_pop1000_gate,potential_market_cap_usd_assumed,potential_market_cap_usd_at_pop1000
52,cmc_58b6abf5bc73662519625508,Monkey D Luffy L Serial Number Flagship Battle Victory souvenir,Opened,ST01-001,confirmed,0,1,snkrdunk,161,164812.37,g10_kline,2026-07-25,1,161,observed_snkrdunk,0,26534791.57,164812370.0
1630,cmc_84c5839eb47c17653780a489,Roronoa Zoro Opened L Promotional Card Flagship Battle 2026 January Winner's Memento,Serial Zoro,OP12-020,confirmed,0,0,,,24416.65,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,22560984.6,24416650.0
1646,cmc_cb08cc58a36880dc89fb5974,Boa Hancock Top Prize,Promotional Card Championship 26-27 Season 1 BCGFest Qualifiers,OP14-112,confirmed,0,0,,,23195.82,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,21432937.68,23195820.0
1625,cmc_590aa15d6d8cb1a32e5e58bb,Monkey.D.Luffy L-SPC,Extra Booster Anime 25th Collection,OP05-060,confirmed,0,0,,,13200.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,12196800.0,13200000.0
89,cmc_1b3548b56b5893da6912d6e7,Monkey D. Luffy,2022 One Piece Super Pre-Release Winner,P-001,confirmed,0,1,ebay,614,17100.0,g10_kline,2026-07-25,1,614,observed_ebay,0,10499400.0,17100000.0
1594,cmc_665fdf86a7224de306892f22,Roronoa Zoro Parallel,Championship Battle Best 16,ST01-013,confirmed,0,0,,,8533.62,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,7885064.88,8533620.0
178,cmc_a7d967a9c4dcee7f7814b5ba,Shanks,2023 Promos Event Prize,OP01-120,confirmed,0,1,ebay,314,24400.0,g10_kline,2026-07-25,1,314,observed_ebay,0,7661600.0,24400000.0
135,cmc_9571d3b03a0df51eb73f7c45,Gol D. Roger,2024 Emperors In New World Gold Manga Alternate Art,OP09-118,confirmed,0,1,ebay,326,22000.0,g10_kline,2026-07-25,1,326,observed_ebay,0,7172000.0,22000000.0
200,cmc_4fded5add7118992a4b7e572,Nami,2022 Romance Dawn Alternate Art,OP01-016,confirmed,0,0,ebay,1752,3999.99,g10_kline,2026-07-25,1,1752,observed_ebay,1,7007982.48,3999990.0
314,cmc_b10e5906c148fc76b9165ea5,Tony Tony Chopper SR-P,Extra Booster Memorial Collection,EB01-006,confirmed,0,0,snkrdunk,2406,2749.99,g10_kline,2026-07-25,1,2406,observed_snkrdunk,1,6616475.94,2749990.0
151,cmc_201d4a5d375d21bace2e40ff,Monkey.D.Luffy SR-P Promotional Card Luffy Get Campaign With Serial Number,Opened,OP07-109,confirmed,0,1,snkrdunk,300,18922.9,g10_kline,2026-07-25,1,300,observed_snkrdunk,0,5676870.0,18922900.0
216,cmc_301efb511fb4110a012eeef5,Portgas D Ace SEC-P Serial Number Flagship Battle Souvenir for Japan,Opened,OP07-119,confirmed,0,0,snkrdunk,679,7935.41,g10_kline,2026-07-25,1,679,observed_snkrdunk,0,5388143.39,7935410.0
217,cmc_00911af5948999468f9ea0db,Roronoa Zoro,2025 Promos Championship 25-26-Top 16,OP09-076,confirmed,0,0,ebay,445,11750.0,g10_kline,2026-07-25,1,445,observed_ebay,0,5228750.0,11750000.0
250,cmc_87da2bdce728f12d33955e0b,Trafalgar Law SR-SP Booster Pack Awakening Of The New Era,Comic Parallel,OP05-069,confirmed,0,0,snkrdunk,2052,2499.99,g10_kline,2026-07-25,1,2052,observed_snkrdunk,1,5129979.48,2499990.0
