variant_id,canonical_name,set_name,collector_number,blocker,psa10_population,reference_price_usd,has_gemrate_pop_ever,latest_gemrate_pop_date,latest_gemrate_pop
8,Monkey.D.Luffy L,Promotional Card ONE PIECE Card Game x Los Angeles Dodgers,EB02-010,on_board,11350,5000.0,1,2026-07-26,11350
19,Monkey D Luffy,2023 Awakening of the New Era Special Art,ST01-012,on_board,1392,21510.0,1,2026-07-25,1392
22,Monkey.D.Luffy SEC-SP Booster Pack Awakening Of The New Era,Comic Parallel,OP05-119,on_board,2971,9644.58,1,2026-07-26,2971
24,Monkey D. Luffy,2023 Awakening of the New Era Manga Alternate Art,OP05-119,on_board,1126,21000.0,1,2026-07-25,1126
36,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,Gold Background,OP05-119,on_board,1242,14236.03,1,2026-07-26,1242
42,Monkey.D.Luffy L,Promotional Card BVB x ONE PIECE Matchday 2025,ST13-003,on_board,11000,1898.87,1,2026-07-26,11000
54,Monkey.D.Luffy,Promotional Card ONE PIECE magazine Special Feature Weekly Shonen Jump ONE PIECE 020,ST21-014,on_board,39843,1798.58,1,2026-07-26,39843
56,Monkey.D.Luffy SEC-SP Extra Booster Anime 25th Collection,Comic Parallel,EB02-061,on_board,2314,6595.55,1,2026-07-26,2314
60,Roronoa Zoro,2024 Wings of the Captain Manga Alternate Art,OP06-118,on_board,2584,11000.0,1,2026-07-26,2584
64,Roronoa Zoro SEC-SP Booster Pack Wings Of The Captain,Comic Parallel,OP06-118,on_board,4191,2473.43,1,2026-07-25,4191
71,Nami R-SP Premium Booster One Piece Card The Best,Comic Parallel,OP01-016,on_board,8530,1625.0,1,2026-07-25,8530
78,Nami,2024 Premium Booster the Best Manga Alternate Art,OP01-016,on_board,2664,5500.0,1,2026-07-26,2664
80,Gol D. Roger SEC-GSP,Booster Pack Emperors In The New World,OP09-118,on_board,1338,7500.0,1,2026-07-25,1338
87,Boa Hancock SR-SP Booster Pack The Future After 500 years,Comic Parallel,OP07-051,on_board,4486,2053.05,1,2026-07-25,4486
90,Trafalgar Law,Champion Ship Prize,ST10-010,on_board,1752,6104.1,1,2026-07-26,1752
98,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,on_board,4163,1951.26,1,2026-07-25,4163
102,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,on_board,1504,6700.0,1,2026-07-26,1504
107,Boa Hancock,2024 500 Years In the Future Manga Art,OP07-051,on_board,2446,3250.0,1,2026-07-26,2446
111,Monkey.D.Luff,1st Anniversary Set,ST10-006,on_board,1335,5951.56,1,2026-07-26,1335
112,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,Silver Background,OP05-119,on_board,1114,7324.99,1,2026-07-25,1114
121,Monkey.D.Luffy SEC-SP Booster Pack Emperors In The New World,Comic Parallel,OP09-119,on_board,2387,2839.87,1,2026-07-24,2387
128,Monkey D. Luffy,2025 A Fist of Divine Speed Manga Alternate Art,OP11-118,on_board,2800,3250.0,1,2026-07-26,2800
132,Boa Hancock,2023 Kingdoms of Intrigue,OP01-078,on_board,2453,3199.0,1,2026-07-25,2453
134,Monkey D. Luffy,2025 Carrying On His Will (Op13) - English Manga Alt. Art Parallel,OP13-118,on_board,1158,8200.0,1,2026-07-26,1158
137,Monkey.D.Luffy SEC-SP Booster Pack CARRYING ON HIS WILL,Comic Parallel,OP13-118,on_board,1807,4150.83,1,2026-07-25,1807
145,Monkey.D.Luffy,Premium Card Collection ONE PIECE DAY'25,P-110,on_board,16593,334.88,1,2026-07-26,16593
150,Monkey.D.Luffy SEC-SP Booster Pack A Fist of Divine Speed,Comic Parallel,OP11-118,on_board,3574,1606.2,1,2026-07-25,3574
157,Roronoa Zoro,Flagship Battle Victory souvenir,OP01-025,on_board,1981,3418.33,1,2026-07-26,1981
163,Monkey D. Luffy,2025 3rd Anniversary! One Piece Card Treasure Campaign Pack,ST21-014,on_board,1217,4700.0,1,2026-07-26,1217
171,Monkey D Luffy,"2024 Emperors In the New World (Op09) - English (Borderless, Manga Art) Alt Art",OP09-119,pop_below_1000,976,6200.0,1,2026-07-24,976
188,Portgas D. Ace,2023 Japanese Manga Art,OP02-013,on_board,1510,3999.99,1,2026-07-26,1510
192,Sanji,2025 Premium Booster: the Best Vol.2 (Prb-02) - English Manga Alt. Art Parallel (En Above Japan On Border),OP06-119,on_board,1041,5700.0,1,2026-07-25,1041
197,Nami,2025 Card Game Promo Championship Offline Regionals Top  Prize,OP09-050,pop_below_1000,999,5103.77,1,2026-07-25,999
234,Sanji SEC-SP Premium Booster One Piece Card The Best vol.2,Comic Parallel,OP06-119,on_board,2110,1581.78,1,2026-07-26,2110
240,Monkey.D.Luffy,Promotional Card Flagship Battle Winner's Memento,ST21-014,on_board,1208,4000.0,1,2026-07-26,1208
249,Monkey D Luffy,Weekly Shonen JUMP 2023 36 37 combined issue supplement,P-043,on_board,13694,204.92,1,2026-07-25,13694
267,Monkey D Luffy SEC-P,Booster Pack Awakening of the New Era,OP05-119,on_board,7125,381.7,1,2026-07-26,7125
276,Boa Hancock SR-SPC,Extra Booster ONE PIECE Heroines edition,EB03-026,on_board,1571,1618.42,1,2026-07-26,1571
306,Uta SEC-SP Extra Booster ONE PIECE Heroines edition,Comic Parallel,EB03-061,on_board,1538,1294.43,1,2026-07-24,1538
311,Dracule Mihawk SEC-SP Booster Pack THE AZURE SEA'S SEVEN,Comic Parallel,OP14-119,on_board,1374,1260.0,1,2026-07-26,1374
589,Uta,One Piece Awakening of the New Era,OP02-120,no_current_price_in_2d_window,2151,,1,2026-07-25,2151
590,Kaido,One Piece Awakening of the New Era,OP04-044,no_current_price_in_2d_window,1875,,1,2026-07-25,1875
601,Charlotte Pudding,One Piece Two Legends,OP03-112,no_current_price_in_2d_window,1517,,1,2026-07-25,1517
602,Sanji,One Piece Royal Blood,ST14-003,no_current_price_in_2d_window,1165,,1,2026-07-25,1165
712,Nico Robin,One Piece Legacy of the Master,OP12-087,no_current_price_in_2d_window,1428,,1,2026-07-25,1428
713,Portgas D. Ace,One Piece Legacy of the Master,ST13-011,no_current_price_in_2d_window,2011,,1,2026-07-25,2011
714,Tashigi,One Piece Legacy of the Master,OP06-050,no_current_price_in_2d_window,1166,,1,2026-07-25,1166
715,Roronoa Zoro,One Piece Legacy of the Master,OP12-020,no_current_price_in_2d_window,1915,,1,2026-07-25,1915
716,Yasopp,One Piece Legacy of the Master,OP09-013,no_current_price_in_2d_window,1089,,1,2026-07-25,1089
753,Portgas D. Ace,One Piece Paramount War,OP02-013,no_current_price_in_2d_window,1505,,1,2026-07-25,1505
781,Zeus,One Piece A Fist of Divine Speed,OP11-106,no_current_price_in_2d_window,1074,,1,2026-07-25,1074
878,Monkey D. Luffy (Error),One Piece 500 Years in the Future,OP07-109,no_current_price_in_2d_window,1366,,1,2026-07-25,1366
941,Monkey D. Luffy,One Piece Emperors in the New World,OP09-061,no_current_price_in_2d_window,2607,,1,2026-07-25,2607
