variant_id,opaque_id,canonical_name,collector_number,set_name,pop
1424,cmc_ea376bfc103cb7b5b8f28555,Monkey D. Luffy (1st Anniversary),ST01-012,One Piece Awakening of the New Era,5440
1440,cmc_75b86c6db32f46e2a728a4a3,Gear Two,OP11-080,One Piece A Fist of Divine Speed,4800
954,cmc_d692512615d0920867de82b6,Monkey D. Luffy,OP11-058,One Piece Carrying On His Will,4696
1300,cmc_d00be94cb5e7ec7c0144f2e1,Nami,ST01-007,One Piece Wings of the Captain,4601
1204,cmc_f9957e2163c2368ec4234b13,Monkey D. Luffy,OP05-119,One Piece Awakening of the New Era,4496
1465,cmc_cca3474f979121ef2656a88c,Monkey D. Luffy,OP13-118,One Piece Carrying On His Will,4085
1209,cmc_e3d7ce047e90549e3dce643a,Monkey D. Luffy,OP07-109,One Piece Two Legends,3919
1457,cmc_3879b94cb3a623a4229fe9c4,Monkey D. Luffy,OP05-119,One Piece Awakening of the New Era,3292
1436,cmc_ba7e7def2cc84b0050a42ba2,Demon Aura Nine Sword Style Asura Blades Drawn Dead Man's Game,OP12-037,One Piece Legacy of the Master,3288
1203,cmc_64f77a83c65c50c0a33313d6,Nami,OP01-016,One Piece Awakening of the New Era,2983
1248,cmc_c0f9543077e9ce088e4d4492,Monkey D. Luffy,OP05-119,One Piece Emperors in the New World,2972
1243,cmc_8a9431f09e504b8526c6531c,Zoro-Juurou,ST18-004,One Piece Emperors in the New World,2614
941,cmc_1b3fea5ca05b057aa5a01387,Monkey D. Luffy,OP09-061,One Piece Emperors in the New World,2607
1218,cmc_0762b0c61b1d608486d3bd67,Boeuf Burst,OP12-060,One Piece Legacy of the Master,2523
1226,cmc_735a693da23fee47b3bceadf,Gum-Gum Fire-Fist Pistol Red Hawk,OP11-114,One Piece A Fist of Divine Speed,2508
1273,cmc_8253e4bb33fdf767cbb4bc7b,Monkey D. Luffy,OP13-001,One Piece Carrying On His Will,2488
1238,cmc_a117df786e535b1039a6a5ec,Roronoa Zoro,PRB02-006,One Piece the Azure Sea's Seven,2391
1425,cmc_f607ea6bf2efc404c103687f,Monkey D. Luffy,OP05-060,One Piece Awakening of the New Era,2389
1439,cmc_9418fdd6465a2611822acde6,Luffy-Tarou,ST18-005,One Piece A Fist of Divine Speed,2379
1459,cmc_99a9ba74b5aed22867750d1a,Jewelry Bonney,OP12-118,One Piece Legacy of the Master,2375
1442,cmc_adec44edf326ea1bedbd75cc,Boa Hancock,OP07-038,One Piece 500 Years in the Future,2363
1272,cmc_4c608efa0fcedf4813d2f5e7,Divine Departure,OP13-076,One Piece Carrying On His Will,2283
1220,cmc_b52c6e80eb42cd0bff396656,Zoro-Juurou,ST18-004,One Piece Legacy of the Master,2279
1441,cmc_2de5d7a8187627c3ae2e9a49,O-Nami,OP06-101,One Piece 500 Years in the Future,2276
1467,cmc_75925ea167dc784f0a42680e,Portgas D. Ace,OP13-119,One Piece Carrying On His Will,2217
1231,cmc_22b7f6d55ba5ff82c842110d,Honesty Impact,OP11-018,One Piece A Fist of Divine Speed,2156
589,cmc_59b3830d03f36e76c16ef76c,Uta,OP02-120,One Piece Awakening of the New Era,2151
1444,cmc_182ff079e279f6464276d7df,You'll Frighten Me...,OP14-118,One Piece the Azure Sea's Seven,2125
1247,cmc_d178d3b777cc32ed6c5ca3e7,Shanks,OP09-004,One Piece Emperors in the New World,2124
1450,cmc_c39f11394d831b003ae72c01,Nami (Errata),OP01-016,One Piece Romance Dawn,2114
1430,cmc_782c5fd0cb67620f94ae017a,Trafalgar Law,OP10-119,One Piece Royal Blood,2104
1448,cmc_78812bd54132ac74feb2cf10,Nami,OP08-106,One Piece Emperors in the New World,2100
1271,cmc_12f64cb83ef8d262feb98f22,Monkey D. Luffy,OP09-119,One Piece Carrying On His Will,2099
1464,cmc_645ba4bc2f20894fd832e6b0,Portgas D. Ace (Error),OP13-119,One Piece Carrying On His Will,2095
1427,cmc_5f712217189d14d266244fe7,Portgas D. Ace,OP02-013,One Piece Two Legends,2087
1199,cmc_3f1f59c406740db40d199a78,Yamato,OP01-121,One Piece Awakening of the New Era,2050
713,cmc_3594f407ca2de43266cce2d0,Portgas D. Ace,ST13-011,One Piece Legacy of the Master,2011
1445,cmc_1878cfffac31f93036f5acfc,Monkey D. Luffy,OP09-119,One Piece Emperors in the New World,2000
1428,cmc_d7a2bf097d0520a86fc9a2ae,Silvers Rayleigh,OP08-118,One Piece Two Legends,1988
1213,cmc_8a301c2dbf9707e0b2a378f7,Edward Newgate,ST15-002,One Piece Royal Blood,1974
958,cmc_bdde9e4b24c429d41d19569c,DON!! Card (Gold),UNKNOWN,One Piece Carrying On His Will,1966
715,cmc_e1d3e6dff7f0f97723fd87ab,Roronoa Zoro,OP12-020,One Piece Legacy of the Master,1915
1479,cmc_a9ba66ebc1d3b32879d45a0c,Roronoa Zoro,OP06-118,One Piece Wings of the Captain,1896
1468,cmc_9b2d759a94ab4398a955e34b,Monkey D. Luffy,OP13-118,One Piece Carrying On His Will,1876
590,cmc_b57d35da54f83d94655a88dc,Kaido,OP04-044,One Piece Awakening of the New Era,1875
1245,cmc_8ab00552a360f47e83c41005,Marshall D. Teach,OP09-093,One Piece Emperors in the New World,1872
1429,cmc_ffd90fd3173e1310210f622d,Divine Departure,OP10-019,One Piece Royal Blood,1868
1210,cmc_0c2f5b4be970021b4e77ad3b,Jewelry Bonney,ST02-007,One Piece Two Legends,1840
953,cmc_88ea1abc1ab8a6a944129135,Boa Hancock,OP01-078,One Piece Romance Dawn,1840
1447,cmc_18e543d306253fd32820796c,Boa Hancock,OP07-051,One Piece Emperors in the New World,1839
1446,cmc_98a46e9512c3bb557aeda092,Buggy,OP09-051,One Piece Emperors in the New World,1787
1222,cmc_fd6db97b542753dbae56ae44,Nami,OP11-041,One Piece A Fist of Divine Speed,1785
1480,cmc_5806491bcb82b61a2542363f,Roronoa Zoro,OP06-118,One Piece Wings of the Captain,1783
1462,cmc_1f7f5af6715f91468966668a,Boa Hancock,OP14-112,One Piece the Azure Sea's Seven,1782
1214,cmc_ad00333a7d85683339218fdb,Portgas D. Ace,OP08-052,One Piece Royal Blood,1775
1244,cmc_31ba728877ffbbc0bc16329f,Zoro-Juurou,OP05-067,One Piece Emperors in the New World,1754
1253,cmc_0e40ad68f4dc2733718a6218,Nami,OP01-016,One Piece Romance Dawn,1752
1202,cmc_521ba51ea1dba991d10f4cc1,Enel,OP05-100,One Piece Awakening of the New Era,1751
1239,cmc_c1b41d81a8adbb592ed01e64,Boa Hancock,OP14-041,One Piece the Azure Sea's Seven,1698
1216,cmc_cc28cd019a2bb3ba345bb187,Vinsmoke Sanji,OP10-063,One Piece Legacy of the Master,1648
956,cmc_09f3520d1832285cc14efeaf,Sabo,OP13-120,One Piece Carrying On His Will,1646
1236,cmc_5bc1a0af6c5ca95ae0228112,Nami,OP14-031,One Piece the Azure Sea's Seven,1642
1451,cmc_5453a866cdd90ed26703ec6c,Monkey D. Luffy,OP01-024,One Piece Romance Dawn,1637
1232,cmc_1492f3726661b8cbbe03a848,Sanji,OP06-119,One Piece A Fist of Divine Speed,1630
1280,cmc_d32f12f47e94d7a6f58d04ea,Sabo,OP04-083,One Piece Kingdoms of Intrigue,1627
1279,cmc_8fbe7561fb04c0749360854f,Boa Hancock,OP13-051,One Piece Carrying On His Will,1620
1438,cmc_1fb509364aadd4e0f544da97,Shirahoshi,EB01-057,One Piece A Fist of Divine Speed,1613
1223,cmc_3a4cdd7a70ac754cef76e46f,Monkey D. Luffy,OP11-040,One Piece A Fist of Divine Speed,1595
1224,cmc_aeeb3e7ace09686e45181378,Shanks,ST16-004,One Piece A Fist of Divine Speed,1561
1302,cmc_1f0721f251ee5816ff22b39e,Rebecca,OP05-091,One Piece Wings of the Captain,1550
1274,cmc_86e8010c67cecf29f35c7943,Portgas D. Ace,EB02-028,One Piece Carrying On His Will,1545
1453,cmc_ffda04c636d907560bd379bb,Yamato,OP06-022,One Piece Wings of the Captain,1532
1303,cmc_87f86f1427bbde15e1e3509b,Ms. All Sunday,OP04-064,One Piece Wings of the Captain,1528
1225,cmc_034d116eb6257fd0958a7b23,Stussy,OP07-085,One Piece A Fist of Divine Speed,1522
601,cmc_32a8dcd3deb89d1a5aabde6f,Charlotte Pudding,OP03-112,One Piece Two Legends,1517
1246,cmc_7fb34454d2389acb7d244cab,Monkey D. Luffy,OP09-119,One Piece Emperors in the New World,1514
753,cmc_c65d31dcbc133485defce2cd,Portgas D. Ace,OP02-013,One Piece Paramount War,1505
952,cmc_828d1c7fb7535862134869d0,Shanks,OP01-120,One Piece Romance Dawn,1501
955,cmc_d32fd7c384d97390de16e502,Gol D. Roger,OP09-118,One Piece Carrying On His Will,1482
1212,cmc_b017da083cec9d5e7804da4c,Monkey D. Luffy,OP10-118,One Piece Royal Blood,1480
1276,cmc_2afee3f953a8dfbf2b714a9d,Ace & Sabo & Luffy,OP13-007,One Piece Carrying On His Will,1458
1449,cmc_15cfbaf656bc66d7878b74b5,Roronoa Zoro,OP01-001,One Piece Romance Dawn,1457
1197,cmc_f5192689b3fff07c090eef87,Monkey D. Luffy,ST01-012,One Piece Pillars of Strength,1430
712,cmc_fc5e10a148a6ce343692f383,Nico Robin,OP12-087,One Piece Legacy of the Master,1428
1452,cmc_54dd72bba9b5b49d01fbfce7,Rebecca,OP04-039,One Piece Kingdoms of Intrigue,1420
1205,cmc_93793061655eace64b8617a9,Rob Lucci,OP03-092,One Piece Awakening of the New Era,1397
1219,cmc_9b2a12c605a194c68d299678,Jewelry Bonney,OP12-118,One Piece Legacy of the Master,1397
1299,cmc_7ca1e1ee1441c542e85bc031,O-Nami,OP06-101,One Piece Wings of the Captain,1384
1221,cmc_ed063eb7f2d33e2d10ede97a,Bartholomew Kuma,OP12-119,One Piece Legacy of the Master,1379
942,cmc_8a10d4f08c0fda13b83db07c,Gol D. Roger,OP09-118,One Piece Emperors in the New World,1377
878,cmc_8e789bf2c947bc2c2d41d89e,Monkey D. Luffy (Error),OP07-109,One Piece 500 Years in the Future,1366
1309,cmc_d33ec16c0bb7f50f9c672e49,Nefeltari Vivi,OP04-001,One Piece Kingdoms of Intrigue,1345
1304,cmc_2d17e8571387177771d065fc,Buggy,OP03-008,One Piece Wings of the Captain,1329
1437,cmc_52a02dea36c81c9c9e684647,Nami,OP02-036,One Piece Paramount War,1323
1242,cmc_215846948133abdfdf223d10,Shanks,OP09-001,One Piece Emperors in the New World,1321
1281,cmc_04ed453527432e7abc5d6814,Trafalgar Law,OP01-047,One Piece Kingdoms of Intrigue,1315
1208,cmc_8d854c237fc32a62ceacc5b9,Tashigi,ST06-006,One Piece Two Legends,1308
957,cmc_9926c7b3569669371f0aff8f,Sabo,OP07-118,One Piece Carrying On His Will,1274
1275,cmc_ca51069cba72d46674ecfed2,Gol D. Roger,OP13-003,One Piece Carrying On His Will,1255
1200,cmc_525cc101b2564c15d4a33806,Enel,OP05-098,One Piece Awakening of the New Era,1244
1426,cmc_b8c0697753996e4cbd02be0b,Nami,OP08-106,One Piece Two Legends,1242
1196,cmc_4cf831d9873b0d5e4c4425ab,Nami,OP03-040,One Piece Pillars of Strength,1237
1234,cmc_6a9081ae0bbfdb096a006691,Boa Hancock,OP07-051,One Piece 500 Years in the Future,1232
1240,cmc_72d107d4b8fb45b50231be1f,Ground Death,OP14-096,One Piece the Azure Sea's Seven,1208
1217,cmc_04bd64d63084aeb9b95a50fb,Kuzan,OP10-082,One Piece Legacy of the Master,1204
1237,cmc_349900238c199a78a9387e8b,Dracule Mihawk,OP12-030,One Piece the Azure Sea's Seven,1174
714,cmc_87d1a9b81cd6592bdb97a64a,Tashigi,OP06-050,One Piece Legacy of the Master,1166
602,cmc_238f38ec187ffe10711f1b32,Sanji,ST14-003,One Piece Royal Blood,1165
1463,cmc_de0186601b1b298140622632,Boa Hancock,OP14-112,One Piece the Azure Sea's Seven,1153
1227,cmc_4edb244ee382352f53e21182,Monkey D. Luffy,OP11-118,One Piece A Fist of Divine Speed,1142
1277,cmc_ba0c6470e1b6000d79604084,Portgas D. Ace,OP13-002,One Piece Carrying On His Will,1131
1228,cmc_b151db8efb5540b0487eb45d,Lucky Roux,OP09-015,One Piece A Fist of Divine Speed,1125
1229,cmc_c9c3381f1ba0fadfa836132f,Silvers Rayleigh,OP09-005,One Piece A Fist of Divine Speed,1125
1230,cmc_de63b50777cf03aee5c669dc,Nami,OP11-054,One Piece A Fist of Divine Speed,1120
1250,cmc_f1645d86f08e38d15f519672,Nico Robin,OP09-062,One Piece Emperors in the New World,1093
716,cmc_59587981213cb47d2fd9c990,Yasopp,OP09-013,One Piece Legacy of the Master,1089
1282,cmc_0cb60fedb501d286d15cef64,Donquixote Doflamingo,OP04-019,One Piece Kingdoms of Intrigue,1085
1252,cmc_3729e643d1d43f1604937a90,Donquixote Doflamingo,OP01-060,One Piece Romance Dawn,1078
781,cmc_0712ff3630361ec5d7d4e9cd,Zeus,OP11-106,One Piece A Fist of Divine Speed,1074
1241,cmc_57b4b848828c17b12bedafef,Ms. All Sunday,OP14-084,One Piece the Azure Sea's Seven,1068
1201,cmc_941cb4727e913bb360dc1ebe,"Eustass \""Captain\"" Kid",OP05-074,One Piece Awakening of the New Era,1062
1198,cmc_adf6dea38deeccab01fc9565,Sogeking,OP03-122,One Piece Pillars of Strength,1060
1251,cmc_59d5937230e263fed4d4d6ff,Yamato,OP01-121,One Piece Romance Dawn,1060
1206,cmc_d9fc4d33c6e7783c2cf0d098,Sakazuki,OP05-041,One Piece Awakening of the New Era,1059
1249,cmc_72bebbd5166f4b10e30c7531,Monkey D. Dragon,OP07-015,One Piece Emperors in the New World,1048
1278,cmc_fe9f5767addc357655a05427,Imu,OP13-079,One Piece Carrying On His Will,1044
1211,cmc_fa4ab4f2e52d58bf63ce102c,Uso-Hachi,ST18-001,One Piece Royal Blood,1040
1254,cmc_b015de6ebe3cc2683fc4ba9e,Monkey D. Luffy (Errata),OP01-003,One Piece Romance Dawn,1032
1301,cmc_0a6813050715d37cfa325310,Perona,OP06-021,One Piece Wings of the Captain,1021
1568,cmc_f37c04107420d292ee679052,Lilith,OP07-111,One Piece Carrying On His Will,1014
1207,cmc_8828ddf2fe78bab797ebeae8,Sabo,OP05-001,One Piece Awakening of the New Era,1005
1461,cmc_00500b9ec143a93df6176ada,Jewelry Bonney,OP07-019,One Piece 500 Years in the Future,1003
1235,cmc_731aa58f0282106df4246b3a,Donquixote Doflamingo,OP01-073,One Piece 500 Years in the Future,1001
