collector_number,verdict,distinct_snk_item_ids,target_variants,snk_titles
OP05-119,parallel_ambiguous,20,3,モンキー・D・ルフィ SEC-P / モンキー・D・ルフィ SEC-P / モンキー・D・ルフィ:手配書 SEC-SPC / モンキー・D・ルフィ SEC / モンキー・D・ルフィ SEC / モンキー・D・ルフィ SEC / モンキー・D・ルフィ SEC-SP (コミパラ) / モンキー・D・ルフィ SEC-SPC :3周年スペシャルカード(金背景)
OP01-016,parallel_ambiguous,19,3,ナミ R-SPC (和柄ナミ) / ナミ R-P / ナミ R-P / ナミ R-SP (コミパラ) / ナミ R / ナミ R / ナミ R / ナミ R
OP07-109,parallel_ambiguous,19,2,モンキー・D・ルフィ (イラスト修正前) SR / モンキー・D・ルフィ SR-P / モンキー・D・ルフィ SR / モンキー・D・ルフィ SR / モンキー・D・ルフィ SR / モンキー・D・ルフィ SR-TR / モンキー・D・ルフィ SR-P (開封済み) / モンキー・D・ルフィ SR
ST01-007,parallel_ambiguous,18,1,ナミ C / ナミ C / ナミ C-P / ナミ P / ナミ C / ナミ C-TR / ナミ C / ナミ C
OP01-120,parallel_ambiguous,17,1,シャンクス SEC-SP (コミパラ) / シャンクス SEC-P / シャンクス SEC-P (シリアルシャンクス、赤髪) (開封済) / シャンクス SEC / シャンクス SEC / シャンクス SEC-P / シャンクス SEC-SP (コミパラ) / シャンクス SEC-P (開封済)
OP09-004,parallel_ambiguous,17,1,シャンクス:手配書 SR-SPC / シャンクス SR-P / シャンクス:金背景 SR-SPC :3周年スペシャルカード / シャンクス SR / シャンクス:銀背景 SR-SPC :3周年スペシャルカード / シャンクス SR / シャンクス SR-SP (コミパラ) / シャンクス SR : 決勝大会ベスト32
OP03-112,parallel_ambiguous,16,1,シャーロット・プリン R-SPC / シャーロット・プリン R-P / シャーロット・プリン R / シャーロット・プリン R / シャーロット・プリン R / シャーロット・プリン R / シャーロット・プリン R / シャーロット・プリン R
OP09-051,parallel_ambiguous,16,1,バギー:手配書 R-SPC / バギー R / バギー R-SP (コミパラ) / バギー:金背景 R-SPC :3周年スペシャルカード / バギー:銀背景 R-SPC :3周年スペシャルカード / バギー R-P / バギー R / バギー:銀背景 R-SPC :3周年スペシャルカード
ST01-012,parallel_ambiguous,16,2,モンキー・D・ルフィ SR / モンキー・D・ルフィ SR / モンキー・D・ルフィ SR / モンキー・D・ルフィ:手配書 SR-SPC / モンキー・D・ルフィ SR / モンキー・D・ルフィ SR-P (サインルフィ) / モンキー・D・ルフィ SR / モンキー・D・ルフィ SR
OP05-074,parallel_ambiguous,14,1,ユースタス・キッド SR / ユースタス・キッド SR-SP (コミパラ) / ユースタス・キッド SR-SPC / ユースタス・キッド SR-P / ユースタス・キッド SR / ユースタス・キッド SR-P / ユースタス・キッド SR-SP (コミパラ) / ユースタス・キッド SR-P
