variantId,tcg,cardLanguage,collectorNumber,canonicalName,setNameCatalog,chars,words,opaqueId,ebayExternalEntityId,contentSha256,file
19,one-piece,en,ST01-012,Monkey D Luffy,2023 Awakening of the New Era Special Art,2738,453,cmc_334667e52d3f7f5aff7fd1a5,b69a3067-c2cc-414f-902e-76db8b5fd3f4,25228e941549be53a4423eb19c1c2b368dce4c2bb0e9529d1804cf01482c55eb,data/editorial/long-form-stories/altxyz/b69a3067-c2cc-414f-902e-76db8b5fd3f4/summary_en.json
24,one-piece,en,OP05-119,Monkey D. Luffy,2023 Awakening of the New Era Manga Alternate Art,2773,443,cmc_058d84cf05991c2c0ab2409b,231edf8e-4170-439b-8134-ce15ee82f0d9,e370ee2b73f3853fcc4c62d1afea46f25485efe6e4960af77f997cff00b27361,data/editorial/long-form-stories/altxyz/231edf8e-4170-439b-8134-ce15ee82f0d9/summary_en.json
34,pokemon,en,SM191,Mew/Mewtwo Gx,2019 Sun and Moon Black Star Promo Power Partnership Tins,2715,444,cmc_209c6e27c8c27d348cf8aaf0,712df551-2987-42dd-ab50-906887cf53d4,ae35ae9edc2ef8e61a2cedfd8cca33f4c6e6062447708a2ecff2d420235f97bd,data/editorial/long-form-stories/altxyz/712df551-2987-42dd-ab50-906887cf53d4/summary_en.json
39,pokemon,en,GG69,Giratina Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery Secret Rare,2780,443,cmc_d1a8a79fe5185c3cceafaa15,105efdc0-db8f-42cd-8b8e-4c558e10ac4b,f14c70fa38e3201d65bf1b8e33fc74d28fcdd773316f774bdd6e956c4ba617e0,data/editorial/long-form-stories/altxyz/105efdc0-db8f-42cd-8b8e-4c558e10ac4b/summary_en.json
41,pokemon,en,GG44,Mewtwo Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery,2713,421,cmc_b26568a2eee0439cdd89ae53,38ca51e4-8da1-4cd1-94e8-c086f18df5dc,72e6bc86423b26cc8028dd436b19dabed9bda9689f5b2acc8aeecaddc6b6721e,data/editorial/long-form-stories/altxyz/38ca51e4-8da1-4cd1-94e8-c086f18df5dc/summary_en.json
43,one-piece,en,OP05-119,Monkey D. Luffy,2025 A Fist of Divine Speed 3rd Anniversary Gold Foil,2965,480,cmc_2c605964de9f67642f9d6197,d26d574b-0e45-4e7a-aa57-66bd27ef61a1,4790586c9e299faf9532d9217e565f16eed8f575a36d94795395a0ab55703a6c,data/editorial/long-form-stories/altxyz/d26d574b-0e45-4e7a-aa57-66bd27ef61a1/summary_en.json
48,pokemon,en,SV49,Charizard Gx,2019 Sun and Moon Hidden Fates,2749,463,cmc_19727069ac175f158769c2f6,57be9054-6cee-407e-b3e8-ebae69d90171,e06aba01fa11667cfb5292ca2e0ff207264e5380361dfb9441372e7ae05e9e59,data/editorial/long-form-stories/altxyz/57be9054-6cee-407e-b3e8-ebae69d90171/summary_en.json
60,one-piece,en,OP06-118,Roronoa Zoro,2024 Wings of the Captain Manga Alternate Art,2806,449,cmc_0df175352be781a08a19275c,d68bf285-3bb0-4268-92e9-c643d266984c,c31f4877c0c6903fca99004b3589f39549cf451ff6828eab80450be7ee2d11a5,data/editorial/long-form-stories/altxyz/d68bf285-3bb0-4268-92e9-c643d266984c/summary_en.json
63,one-piece,en,EB02-061,Monkey D. Luffy,2025 Eb02-Extra Booster -Anime 25th Collection- Manga Alternate Art,2856,442,cmc_fc1d979ca8dcf60b9baed043,1e8aadca-d25a-49c5-99ba-2c1ce7b85892,44ae5b25e6426a1657ee0c311316907408285bda7bf0ad2ef14f58da241da000,data/editorial/long-form-stories/altxyz/1e8aadca-d25a-49c5-99ba-2c1ce7b85892/summary_en.json
69,one-piece,en,OP13-118,Monkey D. Luffy,2025 Piece Card Game Carrying On His Will,2775,473,cmc_4b5d3876c5f0c2a6d7fcfb1b,f31ebe4b-7675-46f1-86c3-245e4bc10005,5524862179c69d1b322fd7e271fa9e8f9acccf25b2874fb8258d546d8151f8df,data/editorial/long-form-stories/altxyz/f31ebe4b-7675-46f1-86c3-245e4bc10005/summary_en.json
72,one-piece,en,OP05-119,Monkey D. Luffy,2025 Piece Card Game A Fist of Divine Speed,2858,470,cmc_dfe920ea3ab9aa3c55471fd7,d2210393-3c59-4cb3-a438-ed7a70370d3d,0f20f30e555a852d23cc5a74d4a7189e27476551da97fe73bf0036a4f5df6f6d,data/editorial/long-form-stories/altxyz/d2210393-3c59-4cb3-a438-ed7a70370d3d/summary_en.json
