bucket,rank,id,name,pricePsa10,marketCap,pct_1d,pct_7d,pct_30d,reasons
watchlist,195,cmc_d32f12f47e94d7a6f58d04ea,Sabo,276.76,451395.56,176.76,176.76,1007.04,|1d|=176.8%>100.0;|30d|=1007.0%>500.0
watchlist,158,cmc_0422b5b83e7f0509fddf8d8c,Monkey D. Luffy,320.0,1336000.0,-2.883156,251.648352,255.555556,|7d|=251.6%>200.0
top100,71,cmc_07d540e4186f06a607f042f9,Mega Venusaur ex,641.064778,5667653.702298,174.545943,103.519089,106.79509,|1d|=174.5%>50.0;|7d|=103.5%>100.0
watchlist,142,cmc_6a9081ae0bbfdb096a006691,Boa Hancock,1600.0,1982400.0,104.813108,104.813108,104.813108,|1d|=104.8%>100.0
top100,42,cmc_e038422db31d372e39282007,Alakazam ex,711.276635,8077257.46706,69.75576,73.982837,87.424673,|1d|=69.8%>50.0
top100,82,cmc_565518d6804153ca2d000d46,Blastoise ex,244.209048,4541799.874704,-59.96573,-69.473869,-61.541882,|1d|=-60.0%>50.0
top100,85,cmc_daaa57ffda79e456916d0820,Sylveon ex,85.475304,4274449.002432,-56.923077,-68.34248,-56.889915,|1d|=-56.9%>50.0
top100,11,cmc_39543dca442b7e07b7d067d2,Umbreon ex,264.564381,20549773.729794,-56.405433,-66.236025,-53.174775,|1d|=-56.4%>50.0
top100,88,cmc_113e9cad03556282f439a115,Pikachu,323.585078,4032840.827114,-53.508772,-60.916844,-51.152074,|1d|=-53.5%>50.0
top100,29,cmc_fd700a542094cf0863c7ea83,Umbreon VMAX,2136.882594,11299835.157072,-60.227273,-59.155881,-54.248366,|1d|=-60.2%>50.0
top100,28,cmc_cc9a385b4fda2e85724d9ff5,Charizard ex,335.673729,12467593.642518,-53.797931,-56.336261,-49.835766,|1d|=-53.8%>50.0
